"Index Name","Date","Open","High","Low","Close"
"NIFTY MICROCAP 250","24 Jun 2025","23556.8","23620.5","23382.15","23416.25"
"NIFTY MICROCAP 250","23 Jun 2025","23103.2","23319.85","23052.6","23300.80"
"NIFTY MICROCAP 250","20 Jun 2025","23155.6","23382.7","23054.25","23240.40"
"NIFTY MICROCAP 250","19 Jun 2025","23613.05","23717.85","23095","23173.25"
"NIFTY MICROCAP 250","18 Jun 2025","23657.2","23810.1","23454.25","23602.10"
"NIFTY MICROCAP 250","17 Jun 2025","23967.15","24038.7","23640.45","23668.80"
"NIFTY MICROCAP 250","16 Jun 2025","23840.9","23987.75","23392.6","23907.70"
"NIFTY MICROCAP 250","13 Jun 2025","23451.2","23921.55","23405.15","23832.85"
"NIFTY MICROCAP 250","12 Jun 2025","24351.1","24416.1","23871.65","23916.55"
"NIFTY MICROCAP 250","11 Jun 2025","24248.9","24428.3","24072.8","24278.90"
"NIFTY MICROCAP 250","10 Jun 2025","24146.05","24214.95","24064.05","24173.70"
"NIFTY MICROCAP 250","09 Jun 2025","23797.3","24010.15","23773.7","23994.10"
"NIFTY MICROCAP 250","06 Jun 2025","23771.85","23815.95","23623.75","23666.50"
"NIFTY MICROCAP 250","05 Jun 2025","23644.85","23779.6","23641.9","23686.15"
"NIFTY MICROCAP 250","04 Jun 2025","23525.7","23595","23346.45","23559.25"
"NIFTY MICROCAP 250","03 Jun 2025","23605.15","23673.7","23415.2","23442.10"
"NIFTY MICROCAP 250","02 Jun 2025","23515","23609","23357.5","23508.25"
"NIFTY MICROCAP 250","30 May 2025","23490.9","23533.45","23310.95","23486.50"
"NIFTY MICROCAP 250","29 May 2025","23422.6","23480.45","23362.45","23417.95"
"NIFTY MICROCAP 250","28 May 2025","23342.35","23418.55","23285.55","23334.30"
"NIFTY MICROCAP 250","27 May 2025","23316.55","23350.8","23184.2","23260.45"
"NIFTY MICROCAP 250","26 May 2025","23263.55","23362.15","23214.8","23276.50"
"NIFTY MICROCAP 250","23 May 2025","23103.85","23171.4","22916.7","23147.05"
"NIFTY MICROCAP 250","22 May 2025","23010.65","23116.65","22853.05","22994.30"
"NIFTY MICROCAP 250","21 May 2025","22872.55","23049.6","22730.95","23021.60"
"NIFTY MICROCAP 250","20 May 2025","23215.7","23283.7","22804.6","22842.20"
"NIFTY MICROCAP 250","19 May 2025","22939.05","23199.35","22821.8","23088.30"
"NIFTY MICROCAP 250","16 May 2025","22754.65","22841.45","22608","22816.70"
"NIFTY MICROCAP 250","15 May 2025","22508.85","22663.2","22452.05","22640.70"
"NIFTY MICROCAP 250","14 May 2025","22177.65","22478.65","22090.4","22416.85"
"NIFTY MICROCAP 250","13 May 2025","21777.55","22093.95","21684.25","22057.30"
