"Symbol  ","Series  ","Date  ","Prev Close  ","Open Price  ","High Price  ","Low Price  ","Last Price  ","Close Price  ","Average Price ","Total Traded Quantity  ","Turnover ₹  ","No. of Trades  ","Deliverable Qty  ","% Dly Qt to Traded Qty  "
"TIMETECHNO","EQ","02-Sep-2024","400.50","403.30","419.65","393.20","397.10","397.75","405.79","25,21,315","1,02,31,22,913.20","61,167","6,28,523","24.93"
"TIMETECHNO","EQ","03-Sep-2024","397.75","398.00","407.45","395.15","400.75","400.20","402.23","10,16,835","40,89,96,922.00","24,949","2,29,757","22.60"
"TIMETECHNO","EQ","04-Sep-2024","400.20","395.00","416.00","394.20","416.00","414.40","408.79","19,07,546","77,97,87,642.60","43,887","4,72,246","24.76"
"TIMETECHNO","EQ","05-Sep-2024","414.40","416.40","428.85","414.45","423.10","424.55","423.98","22,10,471","93,71,86,040.85","60,976","7,44,464","33.68"
"TIMETECHNO","EQ","06-Sep-2024","424.55","424.55","426.95","401.50","406.60","406.55","410.23","12,36,309","50,71,70,586.60","41,011","4,64,050","37.54"
"TIMETECHNO","EQ","09-Sep-2024","406.55","401.50","410.00","389.05","402.40","402.05","397.92","16,33,468","64,99,86,048.50","43,730","3,65,873","22.40"
"TIMETECHNO","EQ","10-Sep-2024","402.05","404.00","419.90","402.40","418.00","418.70","413.13","20,40,568","84,30,19,617.65","42,478","5,17,181","25.34"
"TIMETECHNO","EQ","11-Sep-2024","418.70","420.00","421.20","403.00","405.30","404.30","410.70","7,44,970","30,59,55,839.35","21,937","2,58,541","34.70"
"TIMETECHNO","EQ","12-Sep-2024","404.30","407.00","413.30","401.30","403.05","402.70","407.47","8,84,900","36,05,67,299.65","17,609","1,70,411","19.26"
"TIMETECHNO","EQ","13-Sep-2024","402.70","405.00","442.85","403.60","440.00","439.80","429.03","41,02,331","1,76,00,24,201.55","62,884","13,02,278","31.74"
"TIMETECHNO","EQ","16-Sep-2024","439.80","441.90","442.80","422.20","424.30","424.30","427.93","11,39,323","48,75,53,620.75","26,386","2,98,934","26.24"
"TIMETECHNO","EQ","17-Sep-2024","424.30","420.15","446.80","416.65","445.50","443.85","433.75","21,86,963","94,85,91,527.20","58,814","5,00,961","22.91"
"TIMETECHNO","EQ","18-Sep-2024","443.85","443.85","445.85","420.05","424.55","421.40","433.42","11,61,370","50,33,55,780.05","26,925","3,16,117","27.22"
"TIMETECHNO","EQ","19-Sep-2024","421.40","424.80","429.75","406.00","417.00","416.30","417.19","11,54,142","48,14,99,070.00","34,210","2,99,710","25.97"
"TIMETECHNO","EQ","20-Sep-2024","416.30","414.30","423.85","410.50","415.00","413.85","417.10","12,40,833","51,75,52,002.00","26,027","1,96,127","15.81"
"TIMETECHNO","EQ","23-Sep-2024","413.85","416.00","416.55","405.15","406.50","406.95","410.81","11,79,184","48,44,18,354.90","22,589","3,44,166","29.19"
"TIMETECHNO","EQ","24-Sep-2024","406.95","408.90","412.90","403.90","405.05","406.05","407.57","9,79,073","39,90,39,149.00","19,028","2,37,605","24.27"
"TIMETECHNO","EQ","25-Sep-2024","406.05","408.85","409.95","401.85","404.00","404.40","404.54","9,31,605","37,68,76,062.95","15,197","1,79,253","19.24"
"TIMETECHNO","EQ","26-Sep-2024","404.40","404.00","407.80","387.10","390.00","390.35","397.17","9,76,640","38,78,94,726.40","25,721","4,47,920","45.86"
"TIMETECHNO","EQ","27-Sep-2024","390.35","392.50","397.75","385.00","385.50","385.95","389.24","7,83,684","30,50,38,121.85","22,509","2,65,624","33.89"
"TIMETECHNO","EQ","30-Sep-2024","385.95","386.90","398.00","383.40","391.85","391.30","390.38","7,47,877","29,19,59,011.25","28,490","2,05,028","27.41"
"TIMETECHNO","EQ","01-Oct-2024","391.30","390.05","397.50","388.25","389.65","389.50","393.01","7,91,867","31,12,10,274.65","19,430","1,49,715","18.91"
"TIMETECHNO","EQ","03-Oct-2024","389.50","385.60","393.60","369.75","377.70","378.15","381.22","10,28,921","39,22,48,917.45","34,622","4,37,676","42.54"
"TIMETECHNO","EQ","04-Oct-2024","378.15","379.60","384.70","369.50","377.90","376.75","379.16","7,46,895","28,31,94,903.55","35,754","2,67,734","35.85"
"TIMETECHNO","EQ","07-Oct-2024","376.75","378.95","379.35","356.90","362.00","362.10","364.37","9,07,456","33,06,47,813.20","41,207","4,15,773","45.82"
"TIMETECHNO","EQ","08-Oct-2024","362.10","361.05","386.70","357.65","386.00","384.60","375.31","12,79,277","48,01,31,817.50","29,616","3,41,782","26.72"
"TIMETECHNO","EQ","09-Oct-2024","384.60","386.95","392.20","383.10","391.70","391.10","388.54","10,90,830","42,38,29,269.80","24,847","2,33,408","21.40"
"TIMETECHNO","EQ","10-Oct-2024","391.10","391.50","395.45","383.10","385.35","384.50","390.39","7,53,226","29,40,52,805.50","18,402","1,34,297","17.83"
"TIMETECHNO","EQ","11-Oct-2024","384.50","384.25","397.80","382.10","395.30","394.85","391.86","9,57,927","37,53,70,297.20","25,836","2,04,125","21.31"
"TIMETECHNO","EQ","14-Oct-2024","394.85","398.50","420.60","394.00","420.60","418.20","409.37","17,83,466","73,00,96,403.05","43,219","6,93,008","38.86"
